Card      Reverse Engineer Work
GA112-2   Finished by Usagi
GA27-1    Finished by Usagi
LD312-1   Finished by x
LD312     Finished by x
REG04     Finished by Bruce273, Tom C and Roy20100
FF26      Finished by Usagi
FF34      Finished by robot256
GR26-1    Finished by robot256
LR312     Finished by Calerin
LR312-1   Finished by x
PA24      Finished by Roy20100
PA24-1    Finished by Roy20100
PA24-2    Finished by Roy20100
DS44      Finished by Sanosuke
DZ44      Finished by Bruce273 (transistor question)
SA44      Finished by Sanosuke (mystery component)
ARI01     Finished by Grabhanem
ARI02     Finished by Grabhanem
PA26-1    Finished by Roy20100
RB24      Finished by Usagi
DM23      Finished by Calerin
AD34      Finished by Usagi/nevets01
MS01      In progress by Calerin
XP17      Finished by Calerin
MT41      Finished by Sanosuke
TI 01     Finished by Calerin
CI 01     Finished by Sanosuke
XC-31     Finished by Usagi

FPB      Not yet    (Front Panel Button)
